"ds";"y"
2021-08-22;"2282463.3500000"
2021-08-23;"6265171.6300000"
2021-08-24;"8882628.6800000"
2021-08-25;"7935476.9500000"
2021-08-26;"8539341.8400000"
2021-08-27;"3895820.4400000"
2021-08-28;"5977507.1800000"
2021-08-29;"2841800.6200000"
2021-08-30;"10549081.7000000"
2021-08-31;"15820399.0300000"
2021-09-01;"5551638.5900000"
2021-09-02;"6664824.0300000"
2021-09-03;"2360763.5800000"
2021-09-04;"6745695.7800000"
2021-09-05;"1830156.1000000"
2021-09-06;"1849958.2900000"
2021-09-07;"8060262.3800000"
2021-09-08;"7800916.7900000"
2021-09-09;"9693375.2900000"
2021-09-10;"4003457.9600000"
2021-09-11;"5401979.6300000"
2021-09-12;"2311274.0000000"
2021-09-13;"7838914.9900000"
2021-09-14;"8951931.3600000"
2021-09-15;"9570077.0700000"
2021-09-16;"10925612.8600000"
2021-09-17;"2472442.5400000"
2021-09-18;"5885980.7700000"
2021-09-19;"2062111.7900000"
2021-09-20;"6907230.5700000"
2021-09-21;"8338562.4100000"
2021-09-22;"9194467.3600000"
2021-09-23;"9449709.0700000"
2021-09-24;"2066544.8300000"
2021-09-25;"4797185.7900000"
2021-09-26;"1884345.4300000"
2021-09-27;"10024319.2200000"
2021-09-28;"10418801.9700000"
2021-09-29;"12030706.9500000"
2021-09-30;"18317589.6500000"
2021-10-01;"2230902.3000000"
2021-10-02;"4253493.6900000"
2021-10-03;"2132335.2700000"
2021-10-04;"4733203.8200000"
2021-10-05;"6275080.5500000"
2021-10-06;"10444931.3200000"
2021-10-07;"13745515.1800000"
2021-10-08;"5078413.3000000"
2021-10-09;"7747321.6900000"
2021-10-10;"3175210.5800000"
2021-10-11;"6240928.6700000"
2021-10-12;"4396066.8000000"
2021-10-13;"9043140.5600000"
2021-10-14;"11799764.9200000"
2021-10-15;"6219939.0600000"
2021-10-16;"5954870.4000000"
2021-10-17;"1463504.2600000"
2021-10-18;"6134424.4300000"
2021-10-19;"8624791.7300000"
2021-10-20;"10085990.9900000"
2021-10-21;"10661530.5000000"
2021-10-22;"5093163.7900000"
2021-10-23;"5858892.9000000"
2021-10-24;"2250677.4500000"
2021-10-25;"6703005.8800000"
2021-10-26;"9940286.8500000"
2021-10-27;"10532575.8400000"
2021-10-28;"10707932.9900000"
2021-10-29;"6228127.3900000"
2021-10-30;"9837408.0100000"
2021-10-31;"7576724.5600000"
2021-11-01;"1831896.5000000"
2021-11-02;"2151857.2500000"
2021-11-03;"7049749.1100000"
2021-11-04;"10172304.8300000"
2021-11-05;"5408617.0200000"
2021-11-06;"6364778.3900000"
2021-11-07;"1843809.3900000"
2021-11-08;"5820801.1400000"
2021-11-09;"8907845.4200000"
2021-11-10;"11566982.7300000"
2021-11-11;"10553930.0900000"
2021-11-12;"6978159.5000000"
2021-11-13;"5762313.8700000"
2021-11-15;"5493946.3900000"
2021-11-16;"7402093.2800000"
2021-11-17;"12910963.7800000"
2021-11-18;"11916363.7000000"
2021-11-19;"6892562.9700000"
2021-11-20;"6866836.3700000"
2021-11-21;"3184575.0400000"
2021-11-22;"9668845.1200000"
2021-11-23;"9621956.4700000"
2021-11-24;"12474265.1000000"
2021-11-25;"10869252.3200000"
2021-11-26;"7376054.8600000"
2021-11-27;"6261403.0100000"
2021-11-28;"2332503.6000000"
2021-11-29;"8675881.4400000"
2021-11-30;"18528960.4000000"
2021-12-01;"4478293.4800000"
2021-12-02;"8347716.6000000"
2021-12-03;"4048774.8900000"
2021-12-04;"5263900.6500000"
2021-12-05;"1806427.8000000"
2021-12-06;"5706039.4700000"
2021-12-07;"7866114.9200000"
2021-12-08;"9083517.7500000"
2021-12-09;"10621538.8600000"
2021-12-10;"5885665.0200000"
2021-12-11;"7459662.1500000"
2021-12-12;"2575181.5400000"
2021-12-13;"5274919.5400000"
2021-12-14;"10358470.6400000"
2021-12-15;"10384854.1700000"
2021-12-16;"12296187.2600000"
2021-12-17;"6997528.6700000"
2021-12-18;"6669820.8000000"
2021-12-19;"2989309.4900000"
2021-12-20;"8746224.8500000"
2021-12-21;"10149859.4000000"
2021-12-22;"10951202.2500000"
2021-12-23;"7311634.4700000"
2021-12-24;"2497706.5800000"
2021-12-26;"3945023.7800000"
2021-12-27;"5322921.0600000"
2021-12-28;"10813364.0600000"
2021-12-29;"10478367.6800000"
2021-12-30;"8528343.6400000"
2021-12-31;"3298806.5000000"
2022-01-02;"2940711.4800000"
2022-01-03;"3078668.7700000"
2022-01-04;"6160514.2000000"
2022-01-05;"6877638.6400000"
2022-01-06;"7603203.0300000"
2022-01-07;"3065276.9500000"
2022-01-08;"5057984.0200000"
2022-01-09;"2128892.0700000"
2022-01-10;"5996587.2000000"
2022-01-11;"7305834.2300000"
2022-01-12;"8902782.8500000"
2022-01-13;"9868373.5400000"
2022-01-14;"5398264.4300000"
2022-01-15;"4592937.5700000"
2022-01-16;"2807409.8200000"
2022-01-17;"5582498.5300000"
2022-01-18;"8110220.6100000"
2022-01-19;"9582359.0000000"
2022-01-20;"9617398.1300000"
2022-01-21;"4725535.1700000"
2022-01-22;"6062049.8200000"
2022-01-23;"2675409.0600000"
2022-01-24;"5597430.8900000"
2022-01-25;"8489310.4500000"
2022-01-26;"10052987.7100000"
2022-01-27;"9799837.9600000"
2022-01-28;"5336891.5700000"
2022-01-29;"6064411.1300000"
2022-01-30;"1752494.0800000"
2022-01-31;"12872122.6500000"
2022-02-01;"3803784.7700000"
2022-02-02;"7310500.6400000"
2022-02-03;"8241991.0200000"
2022-02-04;"4414342.8500000"
2022-02-05;"5668176.9300000"
2022-02-06;"2540684.2800000"
2022-02-07;"7167911.2200000"
2022-02-08;"9658292.8500000"
2022-02-09;"11172478.5500000"
2022-02-10;"8998275.4000000"
2022-02-11;"6505878.2200000"
2022-02-12;"6994233.3800000"
2022-02-13;"2489130.9800000"
2022-02-14;"8989471.3000000"
2022-02-15;"10029378.2800000"
2022-02-16;"11843563.9700000"
2022-02-17;"9958105.9700000"
2022-02-18;"6072952.1100000"
2022-02-19;"6947918.7200000"
2022-02-20;"2296600.8300000"
2022-02-21;"9375402.2200000"
2022-02-22;"10353367.1000000"
2022-02-23;"12037609.8900000"
2022-02-24;"10307011.7800000"
2022-02-25;"7586278.9100000"
2022-02-26;"4062615.1100000"
2022-02-27;"3096500.5200000"
2022-02-28;"13308351.4400000"
2022-03-01;"3485332.5800000"
2022-03-02;"3926037.8400000"
2022-03-03;"7973429.3600000"
2022-03-04;"6111682.6700000"
2022-03-05;"7299755.1100000"
2022-03-06;"1583677.6000000"
2022-03-07;"7750820.3700000"
2022-03-08;"9899475.8100000"
2022-03-09;"12721421.2500000"
2022-03-10;"11105740.9200000"
2022-03-11;"7165312.2200000"
2022-03-12;"7340279.2300000"
2022-03-13;"3922073.5800000"
2022-03-14;"9180476.2800000"
2022-03-15;"10824076.0900000"
2022-03-16;"13989753.7200000"
2022-03-17;"11717370.6300000"
2022-03-18;"6980706.1600000"
2022-03-19;"8085133.6100000"
2022-03-20;"2670569.8400000"
2022-03-21;"8545788.5800000"
2022-03-22;"10607909.9400000"
2022-03-23;"9288569.3400000"
2022-03-24;"11957023.8500000"
2022-03-25;"5177359.5800000"
2022-03-26;"6658631.5200000"
2022-03-27;"2727250.9000000"
2022-03-28;"7748542.3800000"
2022-03-29;"9704104.7300000"
2022-03-30;"12802679.3200000"
2022-03-31;"18070613.2700000"
2022-04-01;"1429236.7500000"
2022-04-02;"5477907.2200000"
2022-04-03;"1998512.8000000"
2022-04-04;"6054685.7100000"
2022-04-05;"8624514.2700000"
2022-04-06;"10810014.6300000"
2022-04-07;"10223639.4600000"
2022-04-08;"5216746.1900000"
2022-04-09;"6869814.5100000"
2022-04-10;"2685664.2000000"
2022-04-11;"7374884.3600000"
2022-04-12;"12950166.1000000"
2022-04-13;"12339103.0800000"
2022-04-14;"8324700.8000000"
2022-04-15;"1027290.1700000"
2022-04-16;"5298853.5400000"
2022-04-17;"2390506.9000000"
2022-04-18;"6789375.4900000"
2022-04-19;"9856147.5400000"
2022-04-20;"8223531.5600000"
2022-04-21;"6016948.3300000"
2022-04-22;"3925290.5500000"
2022-04-23;"5252436.5200000"
2022-04-24;"2783490.3700000"
2022-04-25;"6567256.2500000"
2022-04-26;"10326965.1100000"
2022-04-27;"11505130.8300000"
2022-04-28;"12028673.0500000"
2022-04-29;"6927635.5600000"
2022-04-30;"10855029.7500000"
2022-05-01;"610160.8100000"
2022-05-02;"5715205.0200000"
2022-05-03;"9914485.0100000"
2022-05-04;"9594657.0500000"
2022-05-05;"11327643.9200000"
2022-05-06;"5776087.4000000"
2022-05-07;"6352390.5900000"
2022-05-08;"2386117.7800000"
2022-05-09;"6145881.7300000"
2022-05-10;"8631600.9100000"
2022-05-11;"11274992.2100000"
2022-05-12;"9490124.5500000"
2022-05-13;"4334165.2200000"
2022-05-14;"6104047.0700000"
2022-05-15;"2245208.6400000"
2022-05-16;"6616226.4700000"
2022-05-17;"8128067.0400000"
2022-05-18;"9794126.9700000"
2022-05-19;"9743943.8200000"
2022-05-20;"5198720.9100000"
2022-05-21;"5741536.9500000"
2022-05-22;"2582009.7700000"
2022-05-23;"6934461.6300000"
2022-05-24;"10586197.0400000"
2022-05-25;"9406222.4800000"
2022-05-26;"10846636.5100000"
2022-05-27;"7512140.1500000"
2022-05-28;"6065484.6700000"
2022-05-29;"2792699.5000000"
2022-05-30;"10699827.6800000"
2022-05-31;"17005349.4800000"
2022-06-01;"7368527.0600000"
2022-06-02;"8133106.8800000"
2022-06-03;"4143520.3200000"
2022-06-04;"6102249.9900000"
2022-06-05;"3104044.8600000"
2022-06-06;"7598998.9900000"
2022-06-07;"9529299.1700000"
2022-06-08;"11296078.9400000"
2022-06-09;"9398377.6900000"
2022-06-10;"4936935.8600000"
2022-06-11;"5304295.8500000"
2022-06-12;"2040259.5000000"
2022-06-13;"7130793.6200000"
2022-06-14;"10954841.4900000"
2022-06-15;"6703645.8000000"
2022-06-16;"6176336.2600000"
2022-06-17;"4983467.5800000"
2022-06-18;"5563673.0700000"
2022-06-19;"2051232.9800000"
2022-06-20;"7108565.3200000"
2022-06-21;"7348055.7500000"
2022-06-22;"8624896.6300000"
2022-06-23;"6886464.6500000"
2022-06-24;"5224500.2300000"
2022-06-25;"5796545.7800000"
2022-06-26;"2453815.4000000"
2022-06-27;"6611299.8300000"
2022-06-28;"9502968.4400000"
2022-06-29;"10510848.6900000"
2022-06-30;"18835804.5600000"
2022-07-01;"1822354.2100000"
2022-07-02;"4870109.3000000"
2022-07-03;"1958951.9100000"
2022-07-04;"6344328.4400000"
2022-07-05;"8376146.0700000"
2022-07-06;"10923949.9800000"
2022-07-07;"10261468.3900000"
2022-07-08;"4480305.7500000"
2022-07-09;"6286267.3200000"
2022-07-10;"2787193.8300000"
2022-07-11;"7151530.7400000"
2022-07-12;"9138632.4800000"
2022-07-13;"11117263.9700000"
2022-07-14;"7992914.7100000"
2022-07-15;"5708376.9300000"
2022-07-16;"6636610.1300000"
2022-07-17;"2803181.3700000"
2022-07-18;"7234185.7100000"
2022-07-19;"9507318.3900000"
2022-07-20;"9815495.4200000"
2022-07-21;"9749974.9500000"
2022-07-22;"5528411.0900000"
2022-07-23;"6584434.0200000"
2022-07-24;"2946118.8000000"
2022-07-25;"9896707.2100000"
2022-07-26;"9650873.4900000"
2022-07-27;"11777212.7400000"
2022-07-28;"10982793.6500000"
2022-07-29;"12811153.7900000"
2022-07-30;"11727126.5600000"
2022-07-31;"5378268.0500000"
2022-08-01;"4018584.6700000"
2022-08-02;"6915745.9300000"
2022-08-03;"8434824.3700000"
2022-08-04;"8063406.7400000"
2022-08-05;"4669400.4100000"
2022-08-06;"4845307.8100000"
2022-08-07;"3167568.1400000"
2022-08-08;"7446654.3200000"
2022-08-09;"7784168.4100000"
